brand,model,ev_description
Mercedes-Benz,EQV 250 Extra-Long,"The Mercedes-Benz EQV 250 Extra-Long is an electric vehicle in the N - Passenger Van segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 210.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.0 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 1410.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,EQV 250 Long,"The Mercedes-Benz EQV 250 Long is an electric vehicle in the N - Passenger Van segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 215.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.0 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 1030.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,EQV 300 Extra-Long,"The Mercedes-Benz EQV 300 Extra-Long is an electric vehicle in the N - Passenger Van segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 315.0 km. The top speed is 140.0 km/h with 0-100 acceleration in 12.2 seconds. It supports DC fast charging at up to 96.0 kW via CCS port. It offers 1410.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,EQV 300 Long,"The Mercedes-Benz EQV 300 Long is an electric vehicle in the N - Passenger Van segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.1 seconds. It supports DC fast charging at up to 96.0 kW via CCS port. It offers 1030.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,G 580,"The Mercedes-Benz G 580 is an electric vehicle in the JF - Luxury segment. It has a 116.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 4.7 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 555.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,"The Mercedes-Benz eVito Tourer Extra-Long 60 kWh is an electric vehicle in the N - Passenger Van segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 215.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.0 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 1390.0 liters of cargo space, seats 8 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,eVito Tourer Long 60 kWh,"The Mercedes-Benz eVito Tourer Long 60 kWh is an electric vehicle in the N - Passenger Van segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 220.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.0 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 990.0 liters of cargo space, seats 8 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mercedes-Benz,eVito Tourer Long 90 kWh,"The Mercedes-Benz eVito Tourer Long 90 kWh is an electric vehicle in the N - Passenger Van segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 12.1 seconds. It supports DC fast charging at up to 96.0 kW via CCS port. It offers 990.0 liters of cargo space, seats 8 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Mini,Aceman E,"The Mini Aceman E is an electric vehicle in the JB - Compact segment. It has a 38.5 kWh Lithium-ion battery that provides a range of approximately 230.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.9 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 300.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Mini,Aceman JCW,"The Mini Aceman JCW is an electric vehicle in the JB - Compact segment. It has a 49.2 kWh Lithium-ion battery that provides a range of approximately 280.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.4 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 300.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Mini,Aceman SE,"The Mini Aceman SE is an electric vehicle in the JB - Compact segment. It has a 49.2 kWh Lithium-ion battery that provides a range of approximately 290.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.1 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 300.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Mini,Cooper E,"The Mini Cooper E is an electric vehicle in the B - Compact segment. It has a 36.6 kWh Lithium-ion battery that provides a range of approximately 250.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.3 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 200.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Mini,Cooper JCW,"The Mini Cooper JCW is an electric vehicle in the B - Compact segment. It has a 49.2 kWh Lithium-ion battery that provides a range of approximately 290.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 200.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Mini,Cooper SE,"The Mini Cooper SE is an electric vehicle in the B - Compact segment. It has a 49.2 kWh Lithium-ion battery that provides a range of approximately 330.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 200.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Mini,Countryman E,"The Mini Countryman E is an electric vehicle in the JC - Medium segment. It has a 64.6 kWh Lithium-ion battery that provides a range of approximately 380.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.6 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Mini,Countryman SE ALL4,"The Mini Countryman SE ALL4 is an electric vehicle in the JC - Medium segment. It has a 64.6 kWh Lithium-ion battery that provides a range of approximately 365.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL6 Long Range,"The NIO EL6 Long Range is an electric vehicle in the JE - Executive segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 579.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL6 Standard Range,"The NIO EL6 Standard Range is an electric vehicle in the JE - Executive segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 365.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 579.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL7 Long Range,"The NIO EL7 Long Range is an electric vehicle in the JF - Luxury segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL7 Standard Range,"The NIO EL7 Standard Range is an electric vehicle in the JF - Luxury segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 355.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL8 Long Range,"The NIO EL8 Long Range is an electric vehicle in the JF - Luxury segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 440.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.1 seconds. It supports DC fast charging at up to 190.0 kW via CCS port. It offers 265.0 liters of cargo space, seats 6 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,EL8 Standard Range,"The NIO EL8 Standard Range is an electric vehicle in the JF - Luxury segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 265.0 liters of cargo space, seats 6 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
NIO,ET5 Long Range,"The NIO ET5 Long Range is an electric vehicle in the E - Executive segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 386.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
NIO,ET5 Standard Range,"The NIO ET5 Standard Range is an electric vehicle in the E - Executive segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 410.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 386.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
NIO,ET5 Touring Long Range,"The NIO ET5 Touring Long Range is an electric vehicle in the E - Executive segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 485.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 450.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
NIO,ET5 Touring Standard Range,"The NIO ET5 Touring Standard Range is an electric vehicle in the E - Executive segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 400.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 450.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
NIO,ET7 Long Range,"The NIO ET7 Long Range is an electric vehicle in the F - Luxury segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 505.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 363.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
NIO,ET7 Standard Range,"The NIO ET7 Standard Range is an electric vehicle in the F - Luxury segment. It has a 73.5 kWh Lithium-ion battery that provides a range of approximately 415.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 363.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Nissan,Ariya 63kWh,"The Nissan Ariya 63kWh is an electric vehicle in the JC - Medium segment. It has a 63.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 468.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Nissan,Ariya 87kWh,"The Nissan Ariya 87kWh is an electric vehicle in the JC - Medium segment. It has a 87.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.6 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 468.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Nissan,Ariya e-4ORCE 87kWh - 225 kW,"The Nissan Ariya e-4ORCE 87kWh - 225 kW is an electric vehicle in the JC - Medium segment. It has a 87.0 kWh Lithium-ion battery that provides a range of approximately 405.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.7 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 415.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,"The Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo is an electric vehicle in the JC - Medium segment. It has a 87.0 kWh Lithium-ion battery that provides a range of approximately 385.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.0 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 415.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Nissan,Townstar EV Passenger,"The Nissan Townstar EV Passenger is an electric vehicle in the N - Passenger Van segment. It has a 45.0 kWh Lithium-ion battery that provides a range of approximately 225.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 12.6 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 819.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Nissan,Townstar EV Passenger L2,"The Nissan Townstar EV Passenger L2 is an electric vehicle in the N - Passenger Van segment. It has a 45.0 kWh Lithium-ion battery that provides a range of approximately 220.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 819.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Omoda,E5,"The Omoda E5 is an electric vehicle in the JC - Medium segment. It has a 61.0 kWh Lithium-ion battery that provides a range of approximately 345.0 km. The top speed is 172.0 km/h with 0-100 acceleration in 7.6 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 380.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Opel,Astra Electric,"The Opel Astra Electric is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.2 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 352.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Opel,Astra Sports Tourer Electric,"The Opel Astra Sports Tourer Electric is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.3 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 516.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Station/Estate category."
Opel,Combo-e Life 50 kWh,"The Opel Combo-e Life 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 135.0 km/h with 0-100 acceleration in 11.3 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 775.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Opel,Combo-e Life XL 50 kWh,"The Opel Combo-e Life XL 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 230.0 km. The top speed is 135.0 km/h with 0-100 acceleration in 11.3 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 1050.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Opel,Corsa Electric 50 kWh,"The Opel Corsa Electric 50 kWh is an electric vehicle in the B - Compact segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 290.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 8.7 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 267.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Opel,Corsa Electric 51 kWh,"The Opel Corsa Electric 51 kWh is an electric vehicle in the B - Compact segment. It has a 48.1 kWh Lithium-ion battery that provides a range of approximately 315.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 267.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Opel,Frontera 44 kWh,"The Opel Frontera 44 kWh is an electric vehicle in the JB - Compact segment. It has a 44.0 kWh Lithium-ion battery that provides a range of approximately 245.0 km. The top speed is 140.0 km/h with 0-100 acceleration in 12.1 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Opel,Grandland 73 kWh,"The Opel Grandland 73 kWh is an electric vehicle in the JC - Medium segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 365.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 550.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Opel,Grandland 82 kWh,"The Opel Grandland 82 kWh is an electric vehicle in the JC - Medium segment. It has a 82.2 kWh Lithium-ion battery that provides a range of approximately 410.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 550.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Opel,Mokka Electric,"The Opel Mokka Electric is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 285.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 310.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Opel,Zafira-e Life L2 50 kWh,"The Opel Zafira-e Life L2 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Opel,Zafira-e Life L2 75 kWh,"The Opel Zafira-e Life L2 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Opel,Zafira-e Life L3 50 kWh,"The Opel Zafira-e Life L3 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Opel,Zafira-e Life L3 75 kWh,"The Opel Zafira-e Life L3 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-2008 50 kWh,"The Peugeot e-2008 50 kWh is an electric vehicle in the JB - Compact segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 270.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.9 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 434.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-2008 54 kWh,"The Peugeot e-2008 54 kWh is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 300.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.1 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 434.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-208 50 kWh,"The Peugeot e-208 50 kWh is an electric vehicle in the B - Compact segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 290.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 265.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Peugeot,e-208 51 kWh,"The Peugeot e-208 51 kWh is an electric vehicle in the B - Compact segment. It has a 48.1 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 265.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Peugeot,e-3008 73 kWh,"The Peugeot e-3008 73 kWh is an electric vehicle in the JC - Medium segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 380.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.8 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 588.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-3008 73 kWh Dual Motor,"The Peugeot e-3008 73 kWh Dual Motor is an electric vehicle in the JC - Medium segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 375.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 6.4 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 588.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-3008 97 kWh Long Range,"The Peugeot e-3008 97 kWh Long Range is an electric vehicle in the JC - Medium segment. It has a 96.9 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.7 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 588.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-308,"The Peugeot e-308 is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 300.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.8 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 412.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Peugeot,e-308 SW,"The Peugeot e-308 SW is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 300.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 10.0 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 608.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Station/Estate category."
Peugeot,e-408 58 kWh,"The Peugeot e-408 58 kWh is an electric vehicle in the JD - Large segment. It has a 58.3 kWh Lithium-ion battery that provides a range of approximately 375.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.2 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 471.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-5008 73 kWh,"The Peugeot e-5008 73 kWh is an electric vehicle in the JD - Large segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.7 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 348.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-5008 73 kWh Dual Motor,"The Peugeot e-5008 73 kWh Dual Motor is an electric vehicle in the JD - Large segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 348.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-5008 97 kWh Long Range,"The Peugeot e-5008 97 kWh Long Range is an electric vehicle in the JD - Large segment. It has a 96.9 kWh Lithium-ion battery that provides a range of approximately 485.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 9.6 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 348.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Peugeot,e-Rifter M 50 kWh,"The Peugeot e-Rifter M 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 775.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-Rifter XL 50 kWh,"The Peugeot e-Rifter XL 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 230.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 1050.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-Traveller L2 50 kWh,"The Peugeot e-Traveller L2 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-Traveller L2 75 kWh,"The Peugeot e-Traveller L2 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-Traveller L3 50 kWh,"The Peugeot e-Traveller L3 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Peugeot,e-Traveller L3 75 kWh,"The Peugeot e-Traveller L3 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
